brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Wuling,Hatchback,2022,Biru,Automatic,3552,0,Electric,Complete Knock Down (CKD),4,3,185000000
Hyundai,Wagon,2021,Hitam,Automatic,53515,0,Electric,Complete Built Up (CBU),5,5,355000000
BMW,Coupe,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1499000000
Wuling,Hatchback,2023,Biru,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,185000000
MINI,Hatchback,2023,Hijau,Automatic,100,0,Electric,Complete Built Up (CBU),4,3,850000000
Hyundai,Wagon,2023,Abu-abu,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,645000000
Hyundai,Wagon,2022,Merah,Automatic,17500,0,Electric,Complete Built Up (CBU),5,5,422000000
Hyundai,Wagon,2022,Abu-abu,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,422000000
Wuling,Hatchback,2022,Biru,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,198000000
Wuling,Hatchback,2023,Lainnya,Automatic,2000,0,Electric,Complete Knock Down (CKD),4,3,195000000
Wuling,Hatchback,2022,Putih,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,185500000
BMW,Sedan,2023,Abu-abu,Automatic,2500,0,Electric,Complete Built Up (CBU),5,4,2919000000
BMW,Coupe,2023,Biru,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1499000000
BMW,Coupe,2023,Marun,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1499000000
BMW,Coupe,2023,Marun,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,1499000000
BMW,Wagon,2023,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,1799000000
Wuling,Hatchback,2022,Putih,Automatic,11000,0,Electric,Complete Knock Down (CKD),4,3,185000000
Wuling,Hatchback,2022,Putih,Automatic,2000,0,Electric,Complete Knock Down (CKD),4,3,198000000
KIA,SUV,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1050000000
Wuling,Hatchback,2022,Hijau,Automatic,6000,0,Electric,Complete Knock Down (CKD),4,3,185000000
Hyundai,Wagon,2023,Abu-abu,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,660000000
Hyundai,Wagon,2023,Abu-abu,Automatic,5000,0,Electric,Complete Knock Down (CKD),5,5,660000000
Wuling,Hatchback,2023,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,195000000
Mercedes-Benz,Sedan,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,4,1950000000
Wuling,Hatchback,2023,Putih,Automatic,9000,0,Electric,Complete Knock Down (CKD),4,3,215000000
Wuling,Hatchback,2022,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,195000000
Hyundai,Wagon,2023,Hitam,Automatic,3600,0,Electric,Complete Knock Down (CKD),5,5,680000000
Wuling,Hatchback,2023,Lainnya,Automatic,5000,0,Electric,Complete Knock Down (CKD),4,3,200000000
MINI,Hatchback,2022,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),4,3,825000000
Mercedes-Benz,Sedan,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,4,1899000000
Wuling,Hatchback,2022,Putih,Automatic,27500,0,Electric,Complete Knock Down (CKD),4,3,194000000
Nissan,Hatchback,2022,Putih,Automatic,17500,0,Electric,Complete Built Up (CBU),5,5,395000000
BMW,Coupe,2023,Abu-abu,Automatic,7000,0,Electric,Complete Built Up (CBU),5,5,1600000000
Wuling,Hatchback,2022,Putih,Automatic,700,0,Electric,Complete Knock Down (CKD),4,3,228000000
Hyundai,Wagon,2023,Hitam,Automatic,17500,0,Electric,Complete Knock Down (CKD),5,5,680000000
Wuling,Hatchback,2022,Putih,Automatic,7500,0,Electric,Complete Knock Down (CKD),4,3,182000000
Wuling,Hatchback,2022,Biru,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,215000005
Wuling,Hatchback,2022,Emas,Automatic,17500,0,Electric,Complete Knock Down (CKD),4,3,197000000
Lexus,Wagon,2023,Hitam,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1795000000
Hyundai,Wagon,2023,Silver,Automatic,9000,0,Electric,Complete Knock Down (CKD),5,5,645000000
Tesla,Sedan,2022,Putih,Automatic,7500,0,Electric,Complete Built Up (CBU),5,4,799000000
Hyundai,Wagon,2020,Hitam,Automatic,32500,0,Electric,Complete Built Up (CBU),5,5,390000000
Hyundai,Wagon,2023,Silver,Automatic,7500,0,Electric,Complete Knock Down (CKD),5,5,690000000
Wuling,Hatchback,2022,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,220000000
Hyundai,Wagon,2022,Putih,Automatic,17500,0,Electric,Complete Knock Down (CKD),5,5,589999999
Wuling,Hatchback,2022,Lainnya,Automatic,9000,0,Electric,Complete Knock Down (CKD),4,3,192000000
